Ventas_Tienda_1,Ventas_Tienda_2,Ventas_Tienda_3
29.94,63.53,60.12
41.11,60.85,61.42
59.9,56.84,59.96
40.65,58.9,63.19
33.3,66.94,58.15
46.55,60.78,57.7
51.12,68.17,58.42
63.76,60.68,61.53
40.74,58.72,61.87
54.43,58.25,64.04
52.52,49.53,56.29
47.43,52.11,59.83
39.54,58.27,57.86
45.42,63.26,55.74
44.06,52.52,56.96
42.2,57.34,59.31
63.63,52.67,60.78
66.2,62.92,58.22
43.75,57.29,58.9
38.49,62.33,56.58
46.99,54.68,58.47
38.29,62.76,57.0
60.77,58.61,59.15
61.02,68.05,60.36
49.55,67.8,61.5
35.47,59.7,57.87
61.93,58.07,61.92
33.69,66.74,61.62
36.19,64.67,61.83
51.73,58.89,59.63
38.43,59.54,59.8
44.41,58.73,59.47
45.45,58.03,61.43
44.65,68.45,59.38
42.67,61.22,61.76
38.64,53.78,63.38
38.65,57.99,54.78
36.38,49.95,58.6
40.52,61.55,61.47
45.11,61.59,60.22
43.67,52.0,58.71
43.32,57.55,60.38
43.03,58.61,61.78
34.18,66.87,60.9
44.25,59.46,58.74
50.62,66.82,62.46
43.81,58.43,63.13
45.16,54.49,58.44
50.51,55.76,60.94
60.63,53.59,59.66
50.18,58.72,59.27
44.68,59.05,58.26
43.76,63.57,61.56
35.24,63.7,60.65
48.29,55.66,60.45
32.67,56.62,62.51
39.47,54.71,58.57
44.97,59.28,59.37
37.44,61.24,60.69
24.67,58.54,60.13
31.02,56.39,57.95
24.15,65.09,61.26
62.31,66.03,62.76
54.93,59.57,58.35
42.35,65.14,58.06
48.92,57.53,61.9
31.67,56.36,61.64
39.95,60.93,59.96
67.66,57.44,59.51
56.78,65.67,59.9
55.62,56.66,59.12
34.26,58.98,61.25
45.48,61.45,58.22
35.6,67.26,59.4
44.81,62.79,61.24
41.7,52.94,61.74
43.17,57.64,61.24
45.75,61.75,60.08
54.52,62.68,56.13
31.23,48.25,55.36
49.37,62.67,58.71
38.06,57.73,60.51
50.22,60.53,60.18
42.79,67.39,56.02
54.02,59.07,61.45
40.79,49.91,61.91
46.88,66.54,63.71
58.73,54.87,61.46
60.38,61.66,57.34
40.02,61.33,57.25
47.1,44.54,60.71
61.6,58.16,57.57
40.39,54.97,59.09
39.2,62.56,61.69
47.88,56.7,60.73
41.6,61.55,61.27
35.45,67.16,61.57
41.72,57.99,60.75
36.25,60.57,61.8
55.13,57.87,59.47
36.02,57.54,60.4
43.67,58.09,61.03
38.61,50.72,57.56
42.9,55.37,60.01
46.17,52.68,59.08
35.59,58.21,57.91
68.32,55.34,62.76
39.25,64.28,61.56
41.56,54.23,59.69
41.86,67.96,59.3
24.07,54.47,60.63
48.52,68.24,57.16
41.45,54.65,63.09
39.67,55.43,61.79
42.57,64.28,62.67
33.61,59.75,58.25
50.68,63.17,59.86
38.91,60.53,61.95
47.05,52.83,59.72
49.46,56.59,60.23
42.64,65.72,61.91
41.21,66.93,59.66
49.15,60.91,58.99
32.53,65.09,59.51
47.88,50.19,61.55
52.39,55.13,62.16
44.7,60.3,61.38
48.8,56.7,62.22
36.63,60.68,59.69
42.14,58.44,62.33
39.85,63.41,57.16
28.38,60.65,59.88
40.28,60.27,59.09
54.75,57.87,61.39
54.85,52.32,60.44
26.49,61.29,59.34
44.47,58.69,65.5
42.65,59.91,57.44
43.32,61.41,57.93
37.75,61.58,61.83
50.95,57.73,61.2
32.33,61.45,60.67
39.39,64.95,58.05
45.51,59.54,59.37
31.98,61.22,60.5
45.64,59.62,58.11
55.39,63.83,61.97
43.36,59.35,63.67
49.77,54.42,59.28
39.0,53.29,60.94
28.46,58.07,57.98
44.56,57.74,58.48
51.36,56.4,60.51
43.12,64.75,63.08
34.43,58.76,56.52
36.97,46.21,60.05
43.4,58.75,58.24
40.84,64.92,61.86
43.06,54.98,61.4
49.29,57.43,62.66
56.14,56.87,61.46
78.82,53.7,60.96
40.6,58.07,56.67
48.26,59.51,57.75
45.66,59.57,66.45
31.9,62.16,57.57
46.45,64.13,59.1
40.0,68.1,59.73
36.8,61.66,55.09
42.35,53.87,61.01
35.56,65.32,60.49
46.18,71.98,61.98
53.28,57.08,59.93
32.2,48.14,58.85
51.2,57.12,60.48
47.09,64.53,59.51
29.75,56.85,56.29
39.69,56.5,59.28
40.04,52.66,61.68
35.79,63.24,61.69
34.27,61.33,58.06
38.2,66.29,59.43
51.54,53.46,60.21
40.85,65.87,58.98
60.66,54.86,59.37
35.32,60.28,59.14
47.04,57.22,58.87
43.79,65.21,59.11
52.6,56.32,62.1
35.07,53.1,62.79
41.44,65.35,62.71
25.51,54.47,61.49
37.21,57.61,63.28
57.27,63.85,57.35
44.76,64.25,59.44
65.23,66.47,61.79
33.59,57.17,61.44
41.7,58.96,59.57
34.5,61.75,62.56
45.01,55.83,60.34
50.04,58.66,60.78
44.44,60.01,59.2
29.18,63.67,55.57
37.58,60.06,61.12
36.9,66.95,57.62
50.03,57.38,58.69
32.57,60.66,62.61
42.27,65.38,61.43
42.35,58.5,61.01
69.35,59.07,61.23
48.82,55.52,59.45
48.75,66.76,58.08
33.64,60.23,60.11
51.23,65.46,58.41
53.01,66.24,58.07
30.81,53.32,60.7
52.21,59.12,61.97
34.28,57.36,59.17
66.27,58.34,61.11
59.64,63.18,61.29
54.83,48.63,64.41
53.11,66.69,61.58
47.76,58.81,59.82
48.49,53.9,59.94
55.82,61.08,61.6
41.76,58.39,61.86
38.09,62.98,60.86
57.58,57.83,60.81
58.24,64.2,60.37
58.36,54.01,56.75
34.35,60.29,59.8
51.33,48.71,60.96
55.34,59.5,62.82
58.87,62.48,62.13
57.85,58.66,61.48
41.19,60.74,64.46
44.37,59.47,58.24
39.67,59.26,63.53
49.34,55.49,61.21
41.98,62.46,59.28
43.42,60.46,59.38
44.1,65.0,62.18
31.2,64.54,59.45
39.36,55.83,65.39
33.31,56.0,61.18
38.18,58.7,59.87
53.61,67.61,57.9
60.53,54.18,55.26
41.65,63.79,63.59
38.15,61.55,58.33
47.85,57.05,61.17
49.16,57.62,61.23
53.03,58.16,58.72
51.38,54.18,59.94
42.56,60.0,61.19
36.01,74.68,62.44
32.33,53.84,56.55
50.03,59.37,63.27
36.03,50.81,60.4
40.6,61.48,60.61
40.41,60.33,59.85
56.55,57.18,59.31
49.99,63.78,58.21
37.83,67.65,61.25
40.12,60.15,65.06
57.15,55.67,59.71
38.86,55.12,59.06
38.15,56.61,63.89
35.52,66.55,56.49
32.01,59.82,56.8
49.48,57.52,59.12
40.44,63.53,61.54
31.77,66.35,60.39
30.64,60.55,59.52
43.26,62.05,62.56
30.19,65.43,57.12
49.52,56.18,57.02
49.19,54.24,59.6
43.6,61.2,59.93
37.65,55.98,57.95
47.88,57.55,60.0
38.44,59.31,61.01
36.83,57.29,59.32
37.72,54.76,62.97
35.87,64.76,59.12
38.99,66.11,58.32
45.33,64.88,62.68
31.03,61.82,60.76
41.9,67.43,59.86
62.08,45.95,64.74
43.97,63.73,62.1
50.38,65.8,58.88
43.09,62.87,60.89
68.88,57.52,62.2
47.44,62.86,56.8
45.16,48.5,56.05
39.22,56.62,58.39
50.47,56.66,60.01
46.78,60.71,62.87
58.19,57.01,61.6
54.15,70.89,62.9
46.07,58.43,64.01
30.99,62.9,56.82
40.65,64.84,56.41
34.81,54.89,60.61
51.06,68.65,57.46
57.73,61.01,61.49
34.4,56.15,61.38
52.52,55.84,60.94
62.9,63.97,59.78
50.7,58.28,60.73
32.05,67.29,58.39
32.1,61.48,61.23
48.81,59.48,58.42
52.77,62.5,62.38
39.35,62.04,68.24
38.79,65.64,59.04
50.46,55.2,60.39
64.19,55.99,61.09
67.96,59.16,62.87
31.14,58.38,58.62
62.3,47.76,59.85
25.17,62.19,59.88
53.12,64.67,60.68
43.93,69.35,57.74
40.2,66.22,59.67
50.96,63.06,62.09
35.79,58.84,61.19
40.67,66.41,60.89
45.92,63.68,62.98
45.8,57.81,61.48
37.16,63.28,58.39
48.58,63.77,60.6
50.43,62.72,57.6
40.5,59.45,62.83
45.91,65.15,62.58
50.53,55.48,62.39
51.18,56.96,58.53
44.38,53.81,59.66
62.52,65.13,58.33
45.92,55.51,59.08
50.33,51.91,59.83
42.92,54.78,62.97
66.32,51.42,61.88
51.15,65.17,61.27
48.85,62.38,61.41
36.88,60.05,62.66
48.64,60.03,61.92
45.69,61.02,61.66
68.0,52.02,59.73
71.61,60.49,59.36
57.99,68.03,59.19
56.65,60.63,61.54
55.62,56.61,60.79
41.76,60.06,60.46
55.16,65.31,63.56
49.08,49.8,59.26
52.03,54.8,60.0
36.66,55.5,58.63
46.94,67.93,60.39
55.82,66.15,61.06
35.71,60.68,61.99
51.13,46.57,61.28
49.43,59.18,58.15
40.22,50.47,60.47
37.9,60.22,57.76
43.6,60.16,61.33
31.7,60.64,64.53
36.28,58.86,62.16
39.24,52.76,60.13
37.79,60.25,58.89
46.01,58.12,57.54
43.4,59.99,59.74
46.56,58.94,60.78
43.26,65.79,61.41
37.98,57.15,59.23
41.71,53.38,58.9
44.8,56.76,59.35
40.27,57.4,57.72
62.19,66.14,58.57
42.13,59.41,59.46
46.79,55.63,59.75
44.75,52.1,59.52
27.8,55.24,60.37
36.18,71.72,58.73
42.68,64.01,58.73
36.62,52.14,60.97
46.04,68.74,62.59
47.02,63.79,61.83
24.01,55.48,58.84
41.28,67.19,59.31
46.68,62.02,59.51
52.28,57.17,59.9
46.07,64.91,64.09
45.33,60.04,60.8
32.98,59.26,63.1
19.18,66.92,59.12
31.74,64.18,58.3
35.79,55.95,60.36
42.13,62.31,61.75
55.9,65.68,58.53
36.85,56.46,57.83
29.76,61.34,61.91
48.0,54.16,60.74
43.34,66.58,59.01
50.29,60.52,61.15
39.37,64.84,58.29
51.47,51.01,57.84
34.99,64.21,59.92
50.81,59.46,57.95
41.73,60.4,61.44
47.89,54.24,61.18
30.02,69.56,60.76
40.45,63.59,60.73
40.47,55.22,61.74
43.64,72.86,60.16
39.35,52.22,58.07
47.64,62.77,58.87
42.9,56.47,59.94
39.98,64.91,63.05
42.37,54.54,60.25
55.35,60.44,61.53
41.88,66.73,60.1
49.17,54.49,59.82
46.43,60.49,57.16
34.92,60.35,60.57
22.81,59.95,61.69
32.14,56.69,61.17
56.2,63.77,58.69
71.93,54.49,55.79
43.85,61.84,58.72
48.09,59.11,59.52
45.84,61.83,60.73
46.32,59.46,64.16
27.02,57.26,61.37
64.32,45.61,59.68
48.54,63.81,64.73
55.32,63.34,58.85
51.32,55.93,60.53
34.98,63.77,58.97
46.95,71.86,58.33
56.58,51.19,57.29
37.95,62.11,61.35
45.45,64.03,64.36
63.38,60.49,57.58
46.4,65.05,60.59
41.56,64.5,60.4
52.21,68.23,58.13
43.28,64.87,54.88
51.48,64.35,57.36
25.78,53.84,60.3
52.89,60.98,59.19
51.57,62.61,58.34
45.61,53.45,60.87
48.3,61.18,59.53
46.89,60.42,60.44
35.29,64.52,62.46
39.13,62.68,61.8
45.13,49.72,62.22
51.64,64.12,58.57
30.33,62.71,58.36
55.55,60.4,60.15
58.64,64.38,60.54
42.78,50.48,61.02
65.17,57.08,62.0
41.47,58.31,58.97
35.6,60.0,60.62
39.32,68.45,62.89
66.51,58.93,63.87
34.28,59.51,64.66
32.85,62.04,60.37
40.36,62.24,56.5
40.71,54.83,63.85
36.46,54.86,64.38
50.27,58.54,57.21
36.22,56.79,60.16
39.48,56.54,61.84
39.94,48.6,57.38
48.62,60.95,59.17
34.93,66.47,59.65
32.84,59.98,58.54
33.55,60.73,59.46
32.51,58.45,59.96
42.97,75.51,58.96
40.74,53.99,59.14
50.45,63.86,60.04
38.69,67.44,62.43
28.3,49.75,59.88
43.72,59.87,58.74
51.69,73.95,60.98
50.17,58.58,59.85
50.13,56.21,58.14
41.08,62.68,63.57
50.55,60.62,59.82
44.68,54.5,59.79
56.18,61.17,61.72
39.47,63.84,60.28
41.19,61.34,60.83
49.83,60.33,62.36
62.67,64.0,57.87
36.26,56.7,58.63
68.54,61.44,60.45
34.74,59.55,58.1
49.81,62.19,62.44
41.38,58.95,57.99
33.26,63.45,60.68
50.97,64.65,63.26
51.38,57.96,60.05
49.15,55.81,60.96
40.26,69.18,56.8
44.21,56.09,58.92
42.29,68.69,57.65
53.37,57.53,61.23
64.55,67.45,60.54
51.6,64.3,60.85
54.49,63.62,60.3
30.57,58.75,60.75
36.62,64.7,64.62
48.99,58.98,62.47
29.48,58.19,59.99
48.86,67.26,57.68
57.36,66.29,60.76
41.39,63.7,59.12
54.11,58.56,60.57
46.49,58.43,64.34
48.83,49.12,56.43
30.58,57.92,61.82
51.71,57.61,60.35
42.96,58.93,62.16
37.2,52.71,60.98
53.55,62.0,61.28
52.32,63.96,63.66
34.6,57.4,61.46
51.15,54.7,60.17
49.5,64.66,61.89
37.54,65.72,63.38
57.45,61.69,59.98
38.67,49.57,60.74
49.06,63.88,58.61
42.29,63.61,59.49
39.5,66.14,60.74
44.98,59.99,60.23
58.96,65.34,65.09
55.77,65.74,60.61
40.03,58.94,60.01
55.68,59.95,60.51
49.24,52.81,61.74
58.51,70.24,64.32
39.16,60.85,60.88
58.12,67.36,62.26
48.56,60.03,58.11
31.94,50.39,59.45
51.73,61.47,59.4
49.01,67.7,61.42
42.99,58.63,61.74
49.23,67.29,61.58
58.8,58.22,61.26
51.67,52.27,58.91
34.26,64.53,59.18
44.07,66.71,61.2
59.14,58.05,57.19
47.39,62.73,60.97
42.63,66.14,61.47
49.69,61.3,59.52
40.5,56.85,55.31
36.7,70.78,62.6
52.9,57.29,60.53
57.45,66.03,62.1
41.42,64.55,58.56
37.11,54.35,59.67
36.22,60.18,59.61
42.6,60.58,59.75
57.07,63.42,59.24
43.84,54.89,62.67
52.77,65.65,60.08
36.21,74.69,60.97
33.84,63.49,58.31
38.2,58.14,55.12
50.47,60.88,57.97
39.37,56.0,62.42
36.41,66.08,59.56
64.18,62.01,62.92
42.31,61.95,65.52
44.08,56.39,58.96
72.67,51.5,59.31
42.66,50.61,57.89
31.57,54.21,60.1
51.69,68.04,59.84
35.12,59.96,60.05
46.48,58.5,51.58
40.84,64.51,61.45
49.36,64.56,58.67
43.69,59.51,56.73
64.02,59.03,58.52
39.63,54.69,59.02
43.08,61.75,59.79
43.67,58.87,62.06
32.91,58.19,60.79
38.18,40.99,59.25
30.45,63.2,62.02
41.0,60.02,63.12
51.24,61.42,62.26
47.84,55.2,56.37
36.48,54.82,63.42
62.37,56.77,58.56
65.07,66.74,56.83
51.76,59.34,59.3
38.23,57.78,60.62
42.42,63.8,58.77
48.15,56.06,60.14
44.85,57.27,58.89
41.69,51.39,60.36
42.71,59.82,61.36
44.94,60.15,56.16
32.9,52.14,57.14
44.72,50.28,56.98
45.77,65.23,61.39
37.14,50.52,57.71
30.09,61.12,60.24
41.75,58.29,59.87
59.85,60.71,60.05
49.47,60.22,59.77
50.15,57.43,58.81
44.61,58.49,60.0
62.86,57.32,61.76
39.61,57.18,57.76
52.14,58.11,62.02
46.46,55.26,61.86
50.58,60.14,62.0
62.35,54.11,60.68
41.17,60.09,58.29
41.66,60.59,57.98
30.25,53.76,58.08
62.51,48.6,60.02
41.71,65.55,59.64
40.58,57.9,58.62
30.12,55.84,62.17
57.28,54.97,59.84
42.69,59.62,54.69
34.41,62.67,56.58
43.98,56.98,60.92
42.41,55.38,61.69
36.28,55.22,61.27
42.01,73.62,60.34
40.39,64.03,59.16
54.6,55.34,58.82
52.0,60.11,60.85
50.72,61.9,62.09
44.3,65.77,61.09
35.3,59.19,60.05
42.99,58.39,59.32
48.12,53.51,58.75
59.36,64.5,57.14
34.9,59.97,60.96
47.55,60.96,60.59
24.44,62.7,61.41
35.02,66.97,60.09
48.42,60.8,60.12
60.6,53.36,58.72
24.63,55.15,58.3
39.92,65.18,56.49
57.09,60.43,59.38
65.34,56.04,57.77
38.39,58.48,60.98
44.66,58.61,60.09
57.35,51.5,58.47
51.8,57.48,64.64
54.17,57.02,59.09
44.47,54.8,58.86
46.14,64.95,59.82
46.55,55.65,61.42
47.93,63.7,58.05
49.71,57.52,59.32
39.82,52.9,61.81
59.54,55.51,60.96
34.63,61.83,58.87
43.93,57.2,65.39
33.8,58.93,59.06
49.86,53.49,57.76
37.87,58.8,55.03
47.91,62.29,62.35
31.77,55.03,63.11
41.08,65.4,61.12
39.09,62.96,60.49
55.9,57.73,54.55
45.24,62.23,60.58
31.76,56.22,60.59
34.32,55.89,59.5
39.9,61.06,57.22
41.44,55.94,62.17
31.72,59.49,58.99
59.91,54.06,63.68
61.64,62.97,60.94
43.54,59.3,61.48
36.2,54.32,64.03
37.92,71.61,61.28
53.34,63.43,62.57
27.85,56.75,60.28
54.91,61.44,56.94
44.8,57.69,55.19
37.82,58.95,58.82
47.3,59.33,61.63
33.67,64.79,57.62
52.7,47.94,62.08
49.37,62.4,62.47
48.49,66.68,63.49
42.7,61.91,56.12
24.21,59.34,58.35
46.37,57.17,56.75
30.35,58.08,58.1
34.39,47.77,61.75
55.84,56.32,56.53
24.69,62.52,61.98
52.21,61.84,66.97
32.91,54.97,62.61
50.29,64.16,55.79
52.02,64.53,60.12
53.8,62.1,59.32
47.06,60.94,58.3
49.38,53.12,59.45
38.95,60.5,62.56
43.41,56.79,61.17
31.18,56.29,59.22
48.85,51.36,60.13
42.89,65.57,60.12
38.22,55.21,61.37
48.25,69.81,60.51
60.85,72.13,58.76
58.61,58.81,57.64
62.25,65.74,63.11
56.59,54.93,59.12
32.46,61.06,59.77
36.83,64.49,60.96
40.92,61.57,58.18
36.86,65.0,57.45
53.97,54.4,55.53
38.14,66.36,61.52
56.39,62.42,56.36
48.7,61.98,60.8
44.11,57.06,62.03
37.3,62.21,61.04
49.38,66.54,58.33
49.47,49.89,58.62
40.31,63.72,60.33
57.33,54.57,60.38
50.1,64.91,62.9
52.76,56.33,57.97
39.64,64.35,58.35
41.59,65.61,59.49
42.16,52.39,60.58
55.48,61.84,59.96
45.43,57.8,60.84
44.43,57.51,58.38
37.19,60.65,60.43
47.83,65.62,57.38
55.61,60.69,61.41
44.31,61.93,59.93
38.4,61.52,58.1
49.13,56.46,60.93
52.28,68.58,59.94
64.9,54.6,62.51
39.32,59.47,58.49
42.03,60.82,58.28
43.17,64.44,61.76
27.68,54.78,60.72
54.18,59.89,56.73
48.29,57.81,57.64
54.2,63.41,59.17
69.0,56.99,62.05
44.31,59.52,59.29
60.0,63.82,60.44
41.48,55.41,57.31
59.75,60.38,62.0
42.83,65.97,56.89
59.71,59.43,61.42
44.06,65.06,62.05
30.0,63.95,59.68
55.46,62.18,59.05
29.93,54.43,59.99
42.82,67.47,61.35
34.88,64.03,58.16
58.21,59.84,60.12
61.87,61.53,64.55
29.5,56.0,63.74
57.26,60.67,59.45
49.08,60.15,60.96
52.44,64.1,59.06
25.92,64.62,61.45
35.14,63.32,60.31
52.76,61.7,57.54
40.0,62.95,62.97
48.71,52.22,60.39
46.74,63.16,61.35
39.61,62.33,58.48
35.56,58.88,60.08
47.9,53.18,59.34
44.37,67.72,58.92
55.13,59.17,61.97
41.5,58.19,60.56
43.39,61.39,59.34
41.51,59.92,61.62
56.21,62.48,57.4
41.57,59.99,58.81
35.58,55.85,54.17
42.91,61.1,61.93
39.38,59.62,61.85
58.37,63.43,62.56
37.49,63.66,61.29
40.77,55.05,60.36
45.72,53.99,58.85
53.52,55.76,60.81
49.44,51.64,59.23
55.25,60.86,62.37
35.44,60.7,60.81
36.87,53.27,56.87
47.31,59.03,60.64
56.46,69.17,61.06
58.46,61.77,59.57
37.0,60.59,56.97
48.51,66.8,60.26
37.22,61.91,59.86
53.64,59.6,57.59
27.15,66.9,62.25
30.29,63.63,58.75
52.61,58.25,63.51
34.43,56.24,54.09
38.84,51.68,61.3
25.94,52.21,60.07
37.12,58.72,61.31
46.56,55.37,64.15
55.69,56.83,56.68
42.43,59.51,61.01
35.82,67.08,59.05
38.18,58.62,62.3
30.6,60.79,61.82
46.11,60.25,57.76
56.82,67.52,61.88
47.72,60.17,57.58
44.96,52.46,59.55
57.9,51.55,60.29
55.49,62.24,57.62
30.7,57.7,61.14
43.05,64.96,62.41
42.78,64.38,61.06
40.36,58.98,56.38
31.61,55.59,58.06
44.89,59.96,61.07
31.62,59.52,59.93
42.54,57.13,60.25
38.77,61.41,60.65
41.9,54.07,60.1
34.54,64.75,60.69
33.95,66.95,58.31
73.81,68.07,55.74
47.21,63.11,60.31
48.24,68.6,60.62
37.82,58.7,60.04
42.59,60.54,60.63
38.36,60.0,58.33
44.07,66.72,59.23
38.9,67.14,59.92
46.37,63.84,60.02
46.08,60.71,59.98
27.62,67.46,56.11
50.82,63.34,59.24
56.16,58.23,56.29
58.75,64.57,62.12
48.29,57.04,62.97
37.48,59.9,57.43
66.34,67.38,62.3
47.73,58.64,58.82
34.04,59.93,58.7
35.57,53.8,59.38
54.58,62.27,60.15
44.43,59.15,57.72
45.6,55.35,61.05
41.18,63.59,58.63
35.56,66.78,60.86
35.37,65.65,59.79
35.22,53.96,59.2
42.06,68.38,58.01
22.79,58.24,62.89
62.38,66.34,59.65
43.1,66.37,57.35
48.06,50.48,58.75
32.86,66.66,59.86
44.97,50.28,57.76
43.54,55.49,57.99
42.07,62.4,61.01
46.44,53.14,62.79
40.59,56.03,60.53
40.87,62.8,60.41
42.89,54.0,60.68
68.31,63.03,58.27
42.26,65.63,60.01
45.85,56.21,57.11
48.21,73.36,61.92
48.08,66.42,59.11
43.98,62.83,60.44
55.64,61.05,58.6
41.97,63.78,61.31
34.34,59.11,60.87
32.82,59.35,61.15
61.05,54.57,62.16
39.91,65.99,61.05
39.96,61.22,59.71
66.57,49.95,60.15
42.97,58.17,59.56
39.69,62.74,56.68
46.28,65.97,62.2
33.31,61.58,59.63
38.86,56.37,63.49
47.85,58.2,60.11
47.99,70.22,57.26
58.7,60.1,60.79
48.86,58.46,60.16
37.13,62.56,58.18
32.93,64.44,57.03
36.96,64.21,60.32
37.74,68.54,57.47
61.73,58.65,60.2
33.27,55.48,62.16
64.59,56.26,59.99
51.43,67.32,59.66
56.65,57.62,61.93
37.79,52.54,57.18
57.34,70.44,59.43
52.3,65.52,59.76
63.93,50.99,60.73
44.75,60.34,61.81
50.65,60.7,58.45
65.77,54.52,59.95
36.29,68.85,59.41
61.97,54.51,60.49
56.09,69.14,61.17
32.05,64.94,62.62
52.82,53.79,57.63
35.97,61.74,62.48
44.16,64.25,59.36
44.35,50.29,59.28
88.48,57.68,60.79
47.14,59.75,59.54
41.17,53.23,59.52
49.86,62.1,59.04
61.23,58.46,60.82
40.49,68.71,60.41
38.64,54.94,59.75
60.92,64.49,58.73
42.78,61.34,60.73
46.83,57.0,62.81
36.29,56.41,58.26
42.07,56.96,58.92
50.7,60.53,64.8
55.58,68.46,60.54
39.96,63.11,57.67
41.65,65.54,59.25
41.58,60.99,61.93
33.07,56.54,55.94
46.58,59.78,60.71
45.83,63.71,59.41
35.4,63.17,62.61
38.17,67.53,58.92
38.04,58.45,60.31
64.16,62.23,58.8
60.87,55.17,60.19
52.28,61.46,61.97
68.82,52.21,60.67
57.05,63.49,57.31
39.04,59.19,61.43
48.36,62.79,61.78
46.71,59.07,59.9
42.32,59.94,57.34
40.13,64.43,59.12
42.08,68.57,60.25
28.87,52.02,60.61
54.72,62.15,61.22
53.14,51.75,57.81
32.98,54.42,61.97
43.7,65.02,61.46
35.56,65.47,62.76
59.61,63.39,59.53
40.77,60.84,61.74
57.22,56.67,57.5
50.32,52.76,59.6
31.93,63.3,59.39
43.98,69.06,56.05
51.34,54.35,57.67
50.01,57.39,62.37
49.51,63.79,60.98
35.99,64.77,61.17
30.76,57.11,60.64
29.92,62.09,62.93
48.15,65.36,59.33
67.45,63.56,59.48
50.84,63.15,59.82
36.9,62.19,63.13
44.0,69.2,59.69
32.21,56.94,59.58
33.3,58.1,62.71
46.21,60.92,56.18
63.63,53.97,56.04
48.28,58.63,58.73
57.98,57.84,59.87
42.04,64.86,62.68
41.22,58.9,61.15
45.59,56.87,64.33
36.11,62.4,59.6
38.72,65.08,62.5
46.56,59.76,61.58
59.3,64.38,60.96
37.17,58.99,59.24
37.03,65.59,56.98
44.68,58.01,63.14
40.44,66.77,59.37
28.24,56.75,60.66
48.57,53.54,61.06
28.42,57.46,57.43
44.1,62.68,58.84
44.69,60.47,57.51
60.35,59.12,58.2
47.89,62.02,59.59
49.43,61.0,58.91
53.05,58.26,59.22
32.43,51.68,56.83
33.53,60.28,59.56
37.71,60.87,58.88
50.49,65.14,61.93
54.86,60.41,63.7
38.41,50.07,60.83
41.06,73.41,58.97
39.08,61.29,63.37
50.98,64.81,60.99
50.4,60.22,59.69
54.95,62.9,59.13
31.15,60.71,58.66
35.31,65.73,60.38
36.42,59.74,59.01
53.91,63.62,56.41
40.92,54.21,61.21
43.72,56.66,60.54
57.89,50.56,57.39
32.22,67.92,65.13
44.06,66.06,62.52
32.79,59.53,60.42
53.33,67.8,58.17
67.85,56.58,60.06
35.39,60.37,59.97
33.42,57.33,55.51
54.16,61.29,59.42
38.55,52.82,57.52
44.26,61.74,61.82
53.98,61.25,58.58
55.47,57.12,59.45
29.89,70.31,59.9
31.97,61.52,60.49
46.12,64.2,60.4
42.18,56.75,60.62
56.0,52.42,58.09
69.04,63.38,60.0
34.48,64.85,59.48
64.4,59.55,59.11
54.18,53.24,59.78
31.06,58.19,59.32
45.12,62.5,58.86
39.48,60.84,57.91
33.64,51.4,59.56
48.83,65.39,59.24
52.81,67.22,57.03
47.9,63.41,59.1
31.64,57.0,60.26
48.76,56.23,59.06
45.06,62.98,60.87
33.78,54.49,58.59
38.44,65.29,58.85
44.24,63.86,60.86
46.12,66.28,58.7
43.1,66.94,64.41
55.42,53.74,57.99
36.63,56.81,57.89
38.2,60.69,59.36
64.35,59.02,59.4
47.64,61.75,61.14
42.78,61.7,62.3
41.31,51.59,57.77
44.47,60.94,59.55
41.74,53.11,60.19
41.27,60.08,58.05
43.05,51.6,61.3
40.23,60.82,61.07
34.53,63.41,59.06
43.07,55.92,58.92
40.31,64.49,66.17
51.67,54.53,58.5
48.52,65.26,62.7
28.58,70.26,58.64
33.53,54.45,56.25
36.34,65.42,61.14
51.68,58.71,58.36
37.78,53.22,57.42
34.13,64.35,57.17
55.2,61.75,61.7
39.46,51.96,58.17
47.26,59.15,58.6
53.97,56.34,60.1
28.13,61.44,59.83
45.59,55.34,58.34
35.21,62.22,60.85
35.14,54.45,60.56
31.75,58.56,61.17
48.03,66.78,60.37
40.25,59.28,61.77
24.31,55.04,61.86
34.3,57.38,60.91
32.03,58.87,62.51
43.97,70.83,57.98
62.45,61.76,57.3
49.63,57.36,60.75
51.57,62.54,59.59
29.82,63.91,62.4
48.11,56.29,61.0
45.49,58.5,61.27
48.92,55.51,59.78
45.26,58.06,60.78
46.82,61.88,61.03
66.77,58.59,56.32
46.0,61.8,60.26
47.35,62.75,59.14
54.22,65.84,57.37
45.08,65.39,59.54
36.02,61.43,59.95
41.3,58.57,62.63
44.98,67.15,59.24
52.35,48.82,57.89
44.55,56.3,59.77
48.85,60.56,57.48
40.09,63.99,62.27
49.53,61.79,57.32
32.14,56.34,61.79
44.03,57.26,58.8
53.93,56.91,61.28
29.82,55.55,58.3
58.16,57.68,56.73
39.06,66.45,60.21
47.21,61.29,60.72
37.93,62.58,59.69
37.4,64.37,60.39
71.84,55.75,59.29
45.76,54.72,58.82
50.72,62.86,60.39
59.11,57.57,59.76
57.22,59.04,62.75
42.82,58.87,55.96
34.28,61.63,59.02
31.53,61.57,60.6
50.26,56.88,61.86
36.54,55.25,63.14
61.65,55.77,62.42
39.44,62.73,59.94
45.85,69.76,62.65
40.3,60.76,58.78
52.54,54.14,62.04
37.3,62.74,60.3
39.67,56.66,59.02
